Year,UK Index Adjusted 1209,USA index Adjusted 1700,Farm Laborers,Coal Miners,Building Laborers,Building Craftsmen,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Straw,Mustard Seed,Saffron,Hay,Cheese,Butter,Milk,Beef,Mutton,Pork,Bacon,Tallow,Wool,Eggs Quid,Firewood,Timber,Cider,Honey
Type,1209 = 1,1700 = 1,Pound/day,Pound/day,Pound/day,Pound/day,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Litre,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Dozen,Quid/Bundle 3 feet long by 2 feet circumference,Quid/Cubic Foot,Quid/Litre,Quid/Litre
1281,1.606606721,,0.005749338,0,0.004959939,0.010384118,0.001120682,0,0.000849697,0.000713259,0.000881848,0,0,0,0,0,0.661386,0.000111333,0.005052254,0.007532452,0,0,0,0,0,0.025628708,0.064668853,0.001833333,0.0033625,0,0.000559089,0.001833077
1282,1.85622085,,0.005587242,0,0.006990923,0.012452911,0.001414631,0,0.000895627,0.000907785,0.001120682,0,0,0,0,0,0.661386,0.000111333,0.004684818,0.007532452,0,0,0,0,0,0.024158961,0.054196908,0.002041667,0.003429167,0,0.000559089,0.001833077
1283,1.787592905,,0.005520666,0,0.006235715,0.012777358,0.001414631,0,0.001171204,0.000842943,0.001047195,0,0,0,0,0,0.661386,0.000111333,0.004592958,0.007440593,0,0,0,0,0,0.031048398,0.052819021,0.001583333,0.002154167,0,0.000531592,0.001833077
1284,1.800164026,,0.00606487,0,0.005809627,0.012765412,0.001396259,0,0.00114824,0.000842943,0.001322772,0,0,0,0,0,0.661386,0.000111333,0.004501099,0.007899888,0,0,0,0,0,0.022689214,0.052359725,0.001375,0.002183333,0,0.000614081,0.000989862
1285,1.511300103,,0.005774776,0,0.005437831,0.011450887,0.000955335,0,0.000803768,0.000713259,0.000845104,0,0,0,0,0,0.551155,0.000111333,0.004133663,0.007348733,0,0,0,0,0,0.022413637,0.052359725,0.001708333,0.00295,0,0.000559089,0.001017358
1286,1.633662212,,0.005407302,0,0.005708048,0.010020814,0.001194169,0,0.001010451,0.000875364,0.000936964,0,0,0,0,0,0.48391409,0.000176921,0.004501099,0.007440593,0,0,0,0,0,0.018371833,0.056860824,0.00175,0.003016667,0,0.000568254,0.001118177
1287,1.470210314,,0.005592471,0,0.006138252,0.011651757,0.000936964,0,0.000849697,0.000778101,0.000881848,0,0,0,0,0,0.48391409,0.000176921,0.004684818,0.008359184,0,0,0,0,0,0.023607806,0.058330571,0.001541667,0.002941667,0,0.000504096,0.000971531
1288,1.203513478,,0.005367741,0,0.006202217,0.010395561,0.000587899,0,0.00052819,0.000551155,0.000477668,0,0,0,0,0,0.48391409,0.000176921,0.004684818,0.007256874,0,0,0,0,0,0.019290425,0.058789867,0.001375,0.003041667,0,0.000504096,0.000769892
1289,1.301166674,,0.00526054,0,0.005926232,0.012360491,0.000661386,0,0.000620049,0.000615997,0.000551155,0,0,0,0,0,0.48391409,0.000176921,0.004776677,0.009553353,0,0,0,0,0,0.019106707,0.060167754,0.001458333,0.003120833,0,0.000531592,0.000769892
1290,1.514139771,,0.005301377,0,0.006427655,0.012572982,0.001028823,0,0.000849697,0.000778101,0.000863476,0,0,0,0,0,0.48391409,0.000176921,0.004684818,0.007808029,0,0,0,0,0,0.016993946,0.063750262,0.001625,0.0030375,0,0.000604915,0.001035689
1291,1.77340704,,0.005822765,0,0.005411222,0.011548147,0.001359516,0,0.00105638,0.000940206,0.001157426,0,0,0,0,0,0.48391409,0.000176921,0.004684818,0.007991748,0,0,0,0,0,0.019474143,0.059708458,0.001375,0.0030375,0,0.000632412,0.000962365
1292,1.658169192,,0.00560013,0,0.00612913,0.011536147,0.001194169,0,0.001033416,0.000810522,0.001157426,0,0,0,0,0,0.48391409,0.000176921,0.004776677,0.008083607,0,0,0,0,0,0.019198566,0.051992288,0.001625,0.003504167,0,0.000504096,0.000870712
1293,1.665517905,,0.005456766,0,0.005516035,0.011924022,0.001267657,0,0.001033416,0.000907785,0.000845104,0,0,0,0,0,0.48391409,0.000176921,0.004684818,0.007624311,0,0,0,0,0,0.021495045,0.056401528,0.001458333,0.003354167,0,0.000522427,0.000870712
1294,1.9407792,,0.005711422,0,0.006257997,0.012069079,0.001763696,0,0.001240099,0.000842943,0.001286028,0,0,0,0,0,0.48391409,0.000176921,0.004868536,0.008267325,0,0,0,0,0,0.023424088,0.050614401,0.001625,0.0037,0,0.000494931,0.000870712
1295,2.025874142,,0.005587876,0,0.006928861,0.011555231,0.001855555,0,0.001400852,0.001037468,0.001965786,0,0,0,0,0,0.881848,0.000176921,0.005419691,0.008451043,0,0,0,0,0,0.025169412,0.034630906,0.0015,0.003229167,0,0.000494931,0.0016681
1296,1.92262445,,0.005437082,0,0.005764142,0.012088866,0.00180044,0,0.001538641,0.000842943,0.001616721,0,0,0,0,0,0.881848,0.000176921,0.004592958,0.007808029,0,0,0,0,0,0.0220462,0.046388879,0.001458333,0.003241667,0,0.000412442,0.001512289
1297,1.656489272,,0.00541084,0,0.004736982,0.011807248,0.001120682,0,0.000941556,0.000615997,0.001157426,0,0,0,0,0,0.881848,0.000176921,0.004776677,0.008083607,0,0,0,0,0,0.021954341,0.044643555,0.001541667,0.002791667,0,0.000559089,0.0009532
1298,1.789956997,,0.00538816,0,0.00575411,0.010745456,0.001377888,0,0.00114824,0.001005047,0.001230913,0,0,0,0,0,0.881848,0.000176921,0.004501099,0.007624311,0,0,0,0,0,0.020117158,0.052359725,0.001625,0.003404167,0,0.000568254,0.0009532
1299,1.788410203,,0.00547418,0,0.0063863,0.011990089,0.001139054,0,0.001308993,0.001005047,0.001139054,0,0,0,0,0,0.881848,0.000176921,0.005419691,0.010655663,0,0,0,0,0,0.019198566,0.067057192,0.001666667,0.002958333,0,0.000568254,0.0009532
1300,1.8330819,,0.005893514,0,0.006741586,0.012758694,0.001139054,0,0.001010451,0.000842943,0.000936964,0,0,0,0,0,0.881848,0.000273373,0.005144113,0.008634762,0,0,0,0,0,0.030313525,0.061086346,0.001625,0.003175,0,0.000650742,0.0009532
